17:31:08.264 645  [main] INFO  Es3.RegistroPresenze - a
17:31:08.266 647  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.267 648  [main] INFO  Es3.RegistroPresenze - l
17:31:08.267 648  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.268 649  [main] INFO  Es3.RegistroPresenze - l
17:31:08.268 649  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.268 649  [main] INFO  Es3.RegistroPresenze - o
17:31:08.268 649  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.271 652  [main] INFO  Es3.RegistroPresenze -  
17:31:08.271 652  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.272 653  [main] INFO  Es3.RegistroPresenze - C
17:31:08.272 653  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.272 653  [main] INFO  Es3.RegistroPresenze - a
17:31:08.272 653  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.272 653  [main] INFO  Es3.RegistroPresenze - v
17:31:08.272 653  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.272 653  [main] INFO  Es3.RegistroPresenze - a
17:31:08.273 654  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.274 655  [main] INFO  Es3.RegistroPresenze - l
17:31:08.274 655  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.275 656  [main] INFO  Es3.RegistroPresenze - l
17:31:08.275 656  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.275 656  [main] INFO  Es3.RegistroPresenze - i
17:31:08.275 656  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.275 656  [main] INFO  Es3.RegistroPresenze - @
17:31:08.276 657  [main] INFO  Es3.RegistroPresenze - case @
17:31:08.276 657  [main] INFO  Es3.RegistroPresenze - 1
17:31:08.276 657  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.276 657  [main] INFO  Es3.RegistroPresenze - 0
17:31:08.276 657  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.276 657  [main] INFO  Es3.RegistroPresenze - 0
17:31:08.279 660  [main] INFO  Es3.RegistroPresenze - letter
17:31:08.279 660  [main] INFO  Es3.RegistroPresenze - #
17:31:08.280 661  [main] INFO  Es3.RegistroPresenze - case @
17:31:08.287 668  [main] ERROR Es3.RegistroPresenze - errore nel switch For input string: ""
17:31:08.288 669  [main] INFO  Es3.Main3 - Stampo lista recuperata
17:33:55.530 580  [main] INFO  Es3.RegistroPresenze - M
17:33:55.533 583  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.534 584  [main] INFO  Es3.RegistroPresenze - a
17:33:55.535 585  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.535 585  [main] INFO  Es3.RegistroPresenze - r
17:33:55.536 586  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.536 586  [main] INFO  Es3.RegistroPresenze - i
17:33:55.536 586  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.536 586  [main] INFO  Es3.RegistroPresenze - e
17:33:55.537 587  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.537 587  [main] INFO  Es3.RegistroPresenze - l
17:33:55.537 587  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.538 588  [main] INFO  Es3.RegistroPresenze - l
17:33:55.539 589  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.540 590  [main] INFO  Es3.RegistroPresenze - o
17:33:55.540 590  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.540 590  [main] INFO  Es3.RegistroPresenze -  
17:33:55.541 591  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.541 591  [main] INFO  Es3.RegistroPresenze - F
17:33:55.541 591  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.541 591  [main] INFO  Es3.RegistroPresenze - a
17:33:55.541 591  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.541 591  [main] INFO  Es3.RegistroPresenze - n
17:33:55.541 591  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.541 591  [main] INFO  Es3.RegistroPresenze - t
17:33:55.541 591  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.542 592  [main] INFO  Es3.RegistroPresenze - a
17:33:55.542 592  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.542 592  [main] INFO  Es3.RegistroPresenze - s
17:33:55.542 592  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.542 592  [main] INFO  Es3.RegistroPresenze - m
17:33:55.542 592  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.542 592  [main] INFO  Es3.RegistroPresenze - i
17:33:55.543 593  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.543 593  [main] INFO  Es3.RegistroPresenze - n
17:33:55.543 593  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.543 593  [main] INFO  Es3.RegistroPresenze - o
17:33:55.543 593  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.543 593  [main] INFO  Es3.RegistroPresenze - @
17:33:55.543 593  [main] INFO  Es3.RegistroPresenze - case @
17:33:55.543 593  [main] INFO  Es3.RegistroPresenze - in name ho salvato: 
17:33:55.544 594  [main] INFO  Es3.RegistroPresenze - 0
17:33:55.544 594  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.544 594  [main] INFO  Es3.RegistroPresenze - #
17:33:55.544 594  [main] INFO  Es3.RegistroPresenze - case #
17:33:55.544 594  [main] INFO  Es3.RegistroPresenze - in presenze ho salvato: 
17:33:55.544 594  [main] INFO  Es3.RegistroPresenze - in name ho salvato: 
17:33:55.545 595  [main] ERROR Es3.RegistroPresenze - errore nel switch For input string: ""
17:33:55.545 595  [main] INFO  Es3.RegistroPresenze - M
17:33:55.545 595  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.545 595  [main] INFO  Es3.RegistroPresenze - r
17:33:55.545 595  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.545 595  [main] INFO  Es3.RegistroPresenze - .
17:33:55.546 596  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.546 596  [main] INFO  Es3.RegistroPresenze -  
17:33:55.546 596  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.546 596  [main] INFO  Es3.RegistroPresenze - C
17:33:55.546 596  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.546 596  [main] INFO  Es3.RegistroPresenze - r
17:33:55.547 597  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.547 597  [main] INFO  Es3.RegistroPresenze - a
17:33:55.547 597  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.547 597  [main] INFO  Es3.RegistroPresenze - i
17:33:55.547 597  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.548 598  [main] INFO  Es3.RegistroPresenze - g
17:33:55.548 598  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.548 598  [main] INFO  Es3.RegistroPresenze - @
17:33:55.548 598  [main] INFO  Es3.RegistroPresenze - case @
17:33:55.548 598  [main] INFO  Es3.RegistroPresenze - in name ho salvato: 
17:33:55.548 598  [main] INFO  Es3.RegistroPresenze - 1
17:33:55.548 598  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.550 600  [main] INFO  Es3.RegistroPresenze - 0
17:33:55.550 600  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.551 601  [main] INFO  Es3.RegistroPresenze - #
17:33:55.551 601  [main] INFO  Es3.RegistroPresenze - case #
17:33:55.551 601  [main] INFO  Es3.RegistroPresenze - in presenze ho salvato: 
17:33:55.551 601  [main] INFO  Es3.RegistroPresenze - in name ho salvato: 
17:33:55.551 601  [main] ERROR Es3.RegistroPresenze - errore nel switch For input string: ""
17:33:55.553 603  [main] INFO  Es3.RegistroPresenze - C
17:33:55.554 604  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.555 605  [main] INFO  Es3.RegistroPresenze - a
17:33:55.557 607  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.559 609  [main] INFO  Es3.RegistroPresenze - v
17:33:55.560 610  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.560 610  [main] INFO  Es3.RegistroPresenze - a
17:33:55.560 610  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.561 611  [main] INFO  Es3.RegistroPresenze - l
17:33:55.562 612  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.563 613  [main] INFO  Es3.RegistroPresenze - l
17:33:55.563 613  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.564 614  [main] INFO  Es3.RegistroPresenze - o
17:33:55.565 615  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.566 616  [main] INFO  Es3.RegistroPresenze -  
17:33:55.566 616  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.567 617  [main] INFO  Es3.RegistroPresenze - C
17:33:55.568 618  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.570 620  [main] INFO  Es3.RegistroPresenze - a
17:33:55.570 620  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.571 621  [main] INFO  Es3.RegistroPresenze - v
17:33:55.572 622  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.573 623  [main] INFO  Es3.RegistroPresenze - a
17:33:55.575 625  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.575 625  [main] INFO  Es3.RegistroPresenze - l
17:33:55.575 625  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.576 626  [main] INFO  Es3.RegistroPresenze - l
17:33:55.576 626  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.576 626  [main] INFO  Es3.RegistroPresenze - i
17:33:55.576 626  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.577 627  [main] INFO  Es3.RegistroPresenze - @
17:33:55.577 627  [main] INFO  Es3.RegistroPresenze - case @
17:33:55.577 627  [main] INFO  Es3.RegistroPresenze - in name ho salvato: 
17:33:55.578 628  [main] INFO  Es3.RegistroPresenze - 1
17:33:55.578 628  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.578 628  [main] INFO  Es3.RegistroPresenze - 0
17:33:55.579 629  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.580 630  [main] INFO  Es3.RegistroPresenze - 0
17:33:55.580 630  [main] INFO  Es3.RegistroPresenze - letter
17:33:55.580 630  [main] INFO  Es3.RegistroPresenze - #
17:33:55.580 630  [main] INFO  Es3.RegistroPresenze - case #
17:33:55.581 631  [main] INFO  Es3.RegistroPresenze - in presenze ho salvato: 
17:33:55.581 631  [main] INFO  Es3.RegistroPresenze - in name ho salvato: 
17:33:55.581 631  [main] ERROR Es3.RegistroPresenze - errore nel switch For input string: ""
17:33:55.582 632  [main] INFO  Es3.Main3 - Stampo lista recuperata
17:34:56.982 508  [main] INFO  Es3.RegistroPresenze - M
17:34:56.985 511  [main] INFO  Es3.RegistroPresenze - letter
17:34:56.986 512  [main] INFO  Es3.RegistroPresenze - M
17:34:56.986 512  [main] INFO  Es3.RegistroPresenze - a
17:34:56.986 512  [main] INFO  Es3.RegistroPresenze - letter
17:34:56.986 512  [main] INFO  Es3.RegistroPresenze - Ma
17:34:56.986 512  [main] INFO  Es3.RegistroPresenze - r
17:34:56.987 513  [main] INFO  Es3.RegistroPresenze - letter
17:34:56.987 513  [main] INFO  Es3.RegistroPresenze - Mar
17:34:56.987 513  [main] INFO  Es3.RegistroPresenze - i
17:34:56.987 513  [main] INFO  Es3.RegistroPresenze - letter
